OS,Category,Name,vCPU,ECU,Memory (GiB),Instance Storage (GB),Price/hour ($)
Linux/UNIX,General Purpose,t2.nano,1,Variable,0.5 GiB,EBS Only,0.0058
Linux/UNIX,General Purpose,t2.micro,1,Variable,1 GiB,EBS Only,0.0116
Linux/UNIX,General Purpose,t2.small,1,Variable,2 GiB,EBS Only,0.023
Linux/UNIX,General Purpose,t2.medium,2,Variable,4 GiB,EBS Only,0.0464
Linux/UNIX,General Purpose,t2.large,2,Variable,8 GiB,EBS Only,0.0928
Linux/UNIX,General Purpose,t2.xlarge,4,Variable,16 GiB,EBS Only,0.1856
Linux/UNIX,General Purpose,t2.2xlarge,8,Variable,32 GiB,EBS Only,0.3712
Linux/UNIX,General Purpose,m5.large,2,8,8 GiB,EBS Only,0.096
Linux/UNIX,General Purpose,m5.xlarge,4,16,16 GiB,EBS Only,0.192
Linux/UNIX,General Purpose,m5.2xlarge,8,31,32 GiB,EBS Only,0.384
Linux/UNIX,General Purpose,m5.4xlarge,16,60,64 GiB,EBS Only,0.768
Linux/UNIX,General Purpose,m5.12xlarge,48,173,192 GiB,EBS Only,2.304
Linux/UNIX,General Purpose,m5.24xlarge,96,345,384 GiB,EBS Only,4.608
Linux/UNIX,General Purpose,m5d.large,2,8,8 GiB,1 x 75 NVMe SSD,0.113
Linux/UNIX,General Purpose,m5d.xlarge,4,16,16 GiB,1 x 150 NVMe SSD,0.226
Linux/UNIX,General Purpose,m5d.2xlarge,8,31,32 GiB,1 x 300 NVMe SSD,0.452
Linux/UNIX,General Purpose,m5d.4xlarge,16,60,64 GiB,2 x 300 NVMe SSD,0.904
Linux/UNIX,General Purpose,m5d.12xlarge,48,173,192 GiB,2 x 900 NVMe SSD,2.712
Linux/UNIX,General Purpose,m5d.24xlarge,96,345,384 GiB,4 x 900 NVMe SSD,5.424
Linux/UNIX,General Purpose,m4.large,2,6.5,8 GiB,EBS Only,0.1
Linux/UNIX,General Purpose,m4.xlarge,4,13,16 GiB,EBS Only,0.2
Linux/UNIX,General Purpose,m4.2xlarge,8,26,32 GiB,EBS Only,0.4
Linux/UNIX,General Purpose,m4.4xlarge,16,53.5,64 GiB,EBS Only,0.8
Linux/UNIX,General Purpose,m4.10xlarge,40,124.5,160 GiB,EBS Only,2
Linux/UNIX,General Purpose,m4.16xlarge,64,188,256 GiB,EBS Only,3.2
